Player,Tm,Year,Rd,Pk,Age,Pos,College,From,To,G,WS,WS/48,BPM,VORP,MP,Pk_redraft_bpm,Pk_redraft_ws/48,Pk_redraft_vorp,Bust_steal
Pervis Ellison,SAC,1989,1,1,22.091,F-C,University of Louisville,1990,2001,474,21.8,0.090,0.5,7.4,11593,8,15,10,-37.9
Danny Ferry,LAC,1989,1,2,22.259,F,Duke University,1991,2003,917,34.8,0.092,-0.9,5.0,18133,15,14,14,-33.9
Sean Elliott,SAS,1989,1,3,21.151,F,University of Arizona,1990,2001,742,55.7,0.109,0.6,16.1,24502,7,9,8,-18.5
Glen Rice,MIA,1989,1,4,22.036,F,University of Michigan,1990,2004,1000,88.7,0.122,0.5,22.1,34985,9,5,7,-6.6
J.R. Reid,CHH,1989,1,5,21.093,F,University of North Carolina,1990,2001,672,22.5,0.070,-2.0,-0.2,15370,21,20,21,-27.5
Stacey King,CHI,1989,1,6,22.155,F-C,University of Oklahoma,1990,1997,438,10.9,0.071,-3.0,-1.9,7406,24,18,29,-25.4
George McCloud,IND,1989,1,7,22.037,G-F,Florida State University,1990,2002,766,24.6,0.068,-0.7,5.6,17429,12,21,12,-16.5
Randy White,DAL,1989,1,8,21.241,F,Louisiana Tech University,1990,1994,281,1.9,0.017,-4.4,-3.3,5382,31,32,33,-19.4
Tom Hammonds,WSB,1989,1,9,22.098,F,Georgia Institute of Technology,1990,2001,687,14.7,0.068,-4.3,-6.0,10419,30,22,34,-16.6
Pooh Richardson,MIN,1989,1,10,23.050,G,University of California Los Angeles,1990,1999,639,26.7,0.066,-0.9,5.5,19399,16,23,13,-1.9
Nick Anderson,ORL,1989,1,11,21.164,F-G,University of Illinois at Urbana-Champaign,1990,2002,800,55.3,0.106,1.7,23.5,24922,4,10,6,17.8
Mookie Blaylock,NJN,1989,1,12,22.105,G,University of Oklahoma,1990,2002,889,71.8,0.111,3.0,38.9,31026,2,8,2,33.3
Michael Smith,BOS,1989,1,13,24.045,F,Brigham Young University,1990,1995,141,1.4,0.049,-4.1,-0.7,1328,28,27,22,-6.2
Tim Hardaway,GSW,1989,1,14,22.305,G,University of Texas at El Paso,1990,2003,867,85.0,0.133,2.5,34.6,30626,3,4,3,29.6
