Player,Tm,Year,Rd,Pk,Age,Pos,College,From,To,G,WS,WS/48,BPM,VORP,MP,Pk_redraft_bpm,Pk_redraft_ws/48,Pk_redraft_vorp,Bust_steal
Todd Lichti,DEN,1989,1,15,22.176,G-F,Stanford University,1990,1994,237,5.6,0.063,-2.7,-0.8,4240,23,24,24,-3.4
Dana Barros,SEA,1989,1,16,22.081,G,Boston College,1990,2004,850,49.6,0.122,0.2,10.6,19480,10,6,9,8.3
Shawn Kemp,SEA,1989,1,17,19.218,F-C,Trinity Valley Community College,1990,2003,1051,89.5,0.147,1.7,27.3,29293,5,1,5,25.4
B.J. Armstrong,CHI,1989,1,18,21.297,G,University of Iowa,1990,2000,747,45.0,0.121,-1.6,1.9,17790,20,7,17,0.4
Kenny Payne,PHI,1989,1,19,22.220,F-G,University of Louisville,1990,1993,144,-0.1,-0.005,-6.6,-1.3,1167,34,34,27,-2.2
Jeff Sanders,CHI,1989,1,20,23.170,F,Georgia Southern University,1990,1993,55,-0.1,-0.008,-5.2,-0.4,462,35,35,35,-6.5
Blue Edwards,UTA,1989,1,21,23.245,G-F,East Carolina University,1990,1999,704,24.2,0.063,-0.8,5.7,18409,14,25,11,5.9
Byron Irvin,POR,1989,1,22,22.213,G,University of Missouri,1990,1993,87,2.1,0.121,-1.0,0.2,849,36,36,36,-5.3
Roy Marble,ATL,1989,1,23,22.202,G-F,University of Iowa,1990,1994,29,-0.5,-0.122,-8.5,-0.3,194,37,37,37,-5.3
Anthony Cook,PHO,1989,1,24,22.106,F-C,University of Arizona,1991,1996,116,1.0,0.033,-4.2,-0.8,1499,29,29,25,0.0
John Morton,CLE,1989,1,25,22.046,G,Seton Hall University,1990,1992,128,0.5,0.013,-4.7,-1.3,1879,32,33,28,-0.5
Vlade Divac,LAL,1989,1,26,21.150,C,,1990,2005,1134,96.4,0.137,3.3,45.3,33838,1,3,1,46.5
Kenny Battle,DET,1989,1,27,24.266,F,University of Illinois at Urbana-Champaign,1990,1993,134,3.7,0.098,-0.1,0.9,1795,11,12,19,2.2
Sherman Douglas,MIA,1989,2,28,22.291,G,Syracuse University,1990,2001,765,32.9,0.075,-1.5,2.6,21148,19,17,15,3.9
Dyron Nix,CHH,1989,2,29,22.142,F,University of Tennessee,1990,1990,20,0.0,-0.015,-8.3,-0.2,109,38,38,38,-4.1
Frank Kornet,MIL,1989,2,30,22.157,F,Vanderbilt University,1990,1991,89,0.0,-0.004,-6.0,-0.6,595,39,39,39,-3.8
Jeff Martin,LAC,1989,2,31,22.170,G,Murray State University,1990,1991,143,2.1,0.038,-3.8,-1.2,2685,27,28,26,1.8
Stanley Brundy,NJN,1989,2,32,21.232,F,DePaul University,1990,1990,16,0.2,0.057,-2.5,0.0,128,40,40,40,-3.0
Jay Edwards,LAC,1989,2,33,20.180,G,Indiana University,1990,1990,4,0.0,0.022,-5.1,0.0,26,41,41,41,-2.7
Gary Leonard,MIN,1989,2,34,22.137,C,University of Missouri,1990,1992,31,0.1,0.029,-6.3,-0.2,149,42,42,42,0.0
Pat Durham,DAL,1989,2,35,22.115,F,Colorado State University,1993,1995,64,0.7,0.037,-2.8,-0.2,930,43,43,43,0
Clifford Robinson,POR,1989,2,36,22.199,F-C,University of Connecticut,1990,2007,1380,89.7,0.101,0.7,28.7,42561,6,11,4,34.7
Michael Ansley,ORL,1989,2,37,22.145,F,University of Alabama,1990,1992,149,6.4,0.142,-1.1,0.5,2143,17,2,20,6.5
Doug West,MIN,1989,2,38,22.037,G-F,Villanova University,1990,2001,676,17.7,0.051,-2.5,-2.2,16649,22,26,30,3.8
Ed Horton,WSB,1989,2,39,21.198,F,University of Iowa,1990,1990,45,0.4,0.050,-4.1,-0.2,374,44,44,44,0
Dino Radja,BOS,1989,2,40,22.070,F-C,,1994,1997,224,14.3,0.094,-0.7,2.3,7308,13,13,16,8.3
Doug Roth,WSB,1989,2,41,21.313,C,University of Tennessee,1990,1990,42,0.4,0.052,-3.7,-0.2,412,45,45,45,0
Michael Cutright,DEN,1989,2,42,,,McNeese State University,,,,,,,,,46,46,46,0
Chucky Brown,CLE,1989,2,43,21.124,F,North Carolina State University,1990,2002,694,19.0,0.076,-3.0,-3.0,11962,25,16,31,3.0
Reggie Cross,PHI,1989,2,44,,,University of Hawaii,,,,,,,,,47,47,47,0
Scott Haffner,MIA,1989,2,45,23.151,G,University of Evansville,1990,1991,50,-0.1,-0.012,-6.6,-0.7,609,48,48,48,0
Ricky Blanton,PHO,1989,2,46,23.073,F,Louisiana State University,1993,1993,2,0.0,0.088,2.6,0.0,13,49,49,49,0
Reggie Turner,DEN,1989,2,47,,,University of Alabama at Birmingham,,,,,,,,,50,50,50,0
Junie Lewis,UTA,1989,2,48,,,University of South Alabama,,,,,,,,,51,51,51,0
Haywoode Workman,ATL,1989,2,49,23.161,G,Oral Roberts University,1990,2000,359,10.7,0.071,-1.2,1.5,7202,18,19,18,7.5
Brian Quinnett,NYK,1989,2,50,23.034,F,Washington State University,1990,1992,138,0.9,0.027,-3.7,-0.7,1530,26,30,23,5.3
Mike Morrison,PHO,1989,2,51,21.321,G,Loyola College in Maryland,1990,1990,36,-0.3,-0.106,-11.0,-0.3,153,52,52,52,0
Greg Grant,PHO,1989,2,52,22.308,G,Trenton State University,1990,1996,274,1.6,0.023,-5.6,-3.0,3350,33,31,32,3.0
Jeff Hodge,DAL,1989,2,53,,,University of South Alabama,,,,,,,,,53,53,53,0
Toney Mack,PHI,1989,2,54,,,University of Georgia,,,,,,,,,54,54,54,0
Derrick Coleman,NJN,1990,1,1,23.012,F,Syracuse University,1991,2005,781,64.3,0.119,1.3,21.7,25903,3,6,3,-41.3
Gary Payton,SEA,1990,1,2,21.344,G,Oregon State University,1991,2007,1335,145.5,0.148,3.3,63.0,47117,1,1,1,38.3
Mahmoud Abdul-Rauf,DEN,1990,1,3,21.115,G,Louisiana State University,1991,2001,586,25.2,0.077,-2.2,-0.7,15628,20,20,24,-22.4
Dennis Scott,ORL,1990,1,4,21.300,F,Georgia Institute of Technology,1991,2000,629,33.4,0.089,-0.4,7.3,17983,9,15,8,-9.6
Kendall Gill,CHH,1990,1,5,22.038,G,University of Illinois at Urbana-Champaign,1991,2005,966,47.8,0.078,0.3,16.9,29481,5,19,4,5.9
Felton Spencer,MIN,1990,1,6,22.169,C,University of Louisville,1991,2002,640,20.9,0.081,-2.6,-1.9,12298,23,16,36,-12.7
Lionel Simmons,SAC,1990,1,7,21.230,F,La Salle University,1991,1997,454,16.9,0.060,0.1,7.2,13472,6,26,9,-1.6
Bo Kimble,LAC,1990,1,8,24.085,G,Loyola Marymount University,1991,1993,105,0.1,0.004,-5.2,-1.1,1336,39,44,27,-8.4
Willie Burton,MIA,1990,1,9,22.037,F-G,University of Minnesota,1991,1999,316,9.1,0.065,-2.8,-1.4,6666,26,23,33,-8.6
Rumeal Robinson,ATL,1990,1,10,23.232,G,University of Michigan,1991,1997,336,5.2,0.041,-2.2,-0.3,6098,21,32,19,-6.3
Tyrone Hill,GSW,1990,1,11,22.105,F,Xavier University,1991,2004,801,56.2,0.120,-1.0,5.7,22388,15,5,11,0.0
Alec Kessler,HOU,1990,1,12,23.171,F-C,University of Georgia,1991,1994,210,2.0,0.033,-6.3,-3.2,2937,44,34,43,-8.7
Loy Vaught,LAC,1990,1,13,22.126,F,University of Michigan,1991,2001,689,35.8,0.101,-1.6,1.8,16993,17,10,15,-1.0
Travis Mays,SAC,1990,1,14,22.013,G,University of Texas at Austin,1991,1993,115,2.4,0.039,-2.6,-0.5,2964,24,33,21,-3.2
Dave Jamerson,MIA,1990,1,15,22.324,G-F,Ohio University,1991,1994,90,0.2,0.018,-5.2,-0.5,594,46,46,46,-9.8
Terry Mills,MIL,1990,1,16,22.194,F,University of Michigan,1991,2001,678,33.3,0.097,-0.7,5.5,16422,12,12,12,3.9
Jerrod Mustaf,NYK,1990,1,17,20.247,F-C,University of Maryland,1991,1994,179,1.7,0.043,-4.4,-1.2,1902,33,30,31,-2.6
Duane Causwell,SAC,1990,1,18,22.032,C,Temple University,1991,2001,541,15.8,0.081,-1.3,1.6,9409,16,17,16,1.5
Dee Brown,BOS,1990,1,19,21.215,G,Jacksonville University,1991,2002,608,33.4,0.095,0.6,11.0,16843,4,13,5,11.3
Gerald Glass,MIN,1990,1,20,22.233,G-F,University of Mississippi,1991,1996,201,1.8,0.025,-2.5,-0.4,3347,22,38,20,0.0
Jayson Williams,PHO,1990,1,21,22.131,F-C,St. John's University,1991,1999,475,20.0,0.098,-2.0,0.1,9805,18,11,18,0.6
Tate George,NJN,1990,1,22,22.034,G,University of Connecticut,1991,1995,177,1.3,0.032,-5.5,-1.8,2019,42,36,35,-1.3
Anthony Bonner,SAC,1990,1,23,22.024,F,Saint Louis University,1991,1996,318,10.8,0.070,-0.5,2.8,7372,11,22,13,3.4
Dwayne Schintzius,SAS,1990,1,24,21.261,C,University of Florida,1991,1999,217,1.0,0.024,-4.9,-1.4,1950,37,39,34,-0.7
Alaa Abdelnaby,POR,1990,1,25,22.008,F-C,Duke University,1991,1995,256,4.8,0.072,-4.8,-2.3,3200,36,21,37,-1.6
Lance Blanks,DET,1990,1,26,23.297,G,University of Texas at Austin,1991,1993,142,0.7,0.031,-3.8,-0.5,1045,31,37,22,0.5
Elden Campbell,LAL,1990,1,27,21.344,C,Clemson University,1991,2005,1044,62.8,0.117,-0.3,10.8,25776,8,7,6,11.9
Les Jepsen,GSW,1990,2,28,23.009,C,University of Iowa,1991,1992,52,0.1,0.031,-9.2,-0.3,192,47,47,47,-6.9
Toni Kukoc,CHI,1990,2,29,21.287,F,,1994,2006,846,59.6,0.129,2.4,24.7,22212,2,3,2,25.8
Carl Herrera,MIA,1990,2,30,23.201,F,University of Houston,1992,1999,465,9.0,0.054,-3.3,-2.6,8042,29,27,40,-1.5
Negele Knight,PHO,1990,2,31,23.119,G,University of Dayton,1991,1999,276,4.2,0.044,-4.6,-3.0,4513,34,28,42,-1.8
Brian Oliver,PHI,1990,2,32,22.031,G,Georgia Institute of Technology,1991,1998,118,-0.5,-0.020,-6.4,-1.3,1182,45,45,32,0.0
Walter Palmer,UTA,1990,2,33,21.252,C-F,Dartmouth College,1991,1993,48,-0.1,-0.013,-7.6,-0.3,209,48,48,48,-6.6
Kevin Pritchard,GSW,1990,2,34,22.351,G,University of Kansas,1991,1996,94,0.4,0.017,-5.6,-1.0,1125,43,41,26,0.4
Greg Foster,WSB,1990,2,35,21.272,F-C,University of Texas at El Paso,1991,2003,656,5.6,0.033,-5.2,-6.3,7974,40,35,44,-4.5
Trevor Wilson,ATL,1990,2,36,22.108,F,University of California Los Angeles,1991,1996,103,0.8,0.023,-3.5,-0.6,1609,30,40,23,1.3
A.J. English,WSB,1990,2,37,22.357,G,Virginia Union University,1991,1992,151,1.1,0.017,-5.1,-2.4,3108,38,42,39,-0.1
Jud Buechler,SEA,1990,2,38,22.013,F-G,University of Arizona,1991,2002,720,16.5,0.094,-0.7,2.7,8444,13,14,14,5.0
Steve Scheffler,CHH,1990,2,39,22.303,C-F,Purdue University,1991,1997,174,2.9,0.153,-2.1,0.0,918,49,49,49,-5.6
Bimbo Coles,SAC,1990,2,40,22.071,G,Virginia Polytechnic Institute and State University,1991,2004,852,27.4,0.065,-2.1,-0.7,20319,19,24,25,1.9
Steve Bardo,ATL,1990,2,41,22.088,G,University of Illinois at Urbana-Champaign,1992,1996,33,-0.1,-0.020,-4.5,-0.2,299,50,50,50,-5.3
Marcus Liberty,DEN,1990,2,42,21.248,F,University of Illinois at Urbana-Champaign,1991,1994,267,4.0,0.042,-2.9,-1.1,4568,27,31,28,1.9
Tony Massenburg,SAS,1990,2,43,22.337,F,University of Maryland,1991,2005,683,15.6,0.061,-4.6,-8.0,12291,35,25,45,-4.8
Steve Henson,MIL,1990,2,44,22.151,G,Kansas State University,1991,1999,238,3.8,0.079,-3.9,-1.1,2282,32,18,29,5.2
Antonio Davis,IND,1990,2,45,21.244,F-C,University of Texas at El Paso,1994,2006,903,59.6,0.110,-0.7,8.8,26084,14,8,7,16.8
Kenny Williams,IND,1990,2,46,21.023,F,Elizabeth City State University,1991,1994,260,7.4,0.122,0.0,1.4,2918,7,4,17,9.4
Derek Strong,PHI,1990,2,47,22.144,F,Xavier University,1992,2001,456,18.5,0.104,-3.0,-2.3,8548,28,9,38,5.7
Cedric Ceballos,PHO,1990,2,48,20.334,F,California State University Fullerton,1991,2001,609,40.4,0.132,-0.4,6.0,14712,10,2,10,14.0
Phil Henderson,DAL,1990,2,49,,,Duke University,,,,,,,,,51,51,51,0
Milos Babic,PHO,1990,2,50,21.221,C-F,Tennessee Technological University,1991,1992,21,-0.1,-0.028,-6.3,-0.1,87,52,52,52,0
Tony Smith,LAL,1990,2,51,22.018,G,Marquette University,1991,2001,457,6.7,0.044,-2.6,-1.1,7295,25,29,30,6.9
Stefano Rusconi,CLE,1990,2,52,21.273,C-F,,1996,1996,7,-0.1,-0.104,-7.6,0.0,30,53,53,53,0
Abdul Shamsid-Deen,SEA,1990,2,53,,,Providence College,,,,,,,,,54,54,54,0
Sean Higgins,SAS,1990,2,54,21.184,G-F,University of Michigan,1991,1998,220,0.4,0.006,-5.2,-2.7,3334,41,43,41,5.3
Larry Johnson,CHH,1991,1,1,22.109,F,University of Nevada Las Vegas,1992,2001,707,69.7,0.130,2.4,28.3,25685,1,5,3,-9.9
Kenny Anderson,NJN,1991,1,2,20.265,G,Georgia Institute of Technology,1992,2005,858,62.5,0.116,0.8,18.0,25868,8,6,6,-10.6
Billy Owens,SAC,1991,1,3,22.061,F-G,Syracuse University,1992,2001,600,28.6,0.078,0.5,11.2,17619,9,15,8,-17.1
Dikembe Mutombo,DEN,1991,1,4,25.007,C,Georgetown University,1992,2009,1196,117.0,0.153,2.1,38.2,36791,3,1,1,13.8
Steve Smith,MIA,1991,1,5,22.092,G,Michigan State University,1992,2005,942,83.7,0.139,1.4,24.4,28855,5,4,4,0.7
Doug Smith,DAL,1991,1,6,21.287,F,University of Missouri,1992,1996,296,3.0,0.024,-3.0,-1.5,5833,24,27,26,-19.5
Luc Longley,MIN,1991,1,7,22.163,C,University of New Mexico,1992,2001,567,17.5,0.070,-1.5,1.5,12006,15,18,14,-16.1
Mark Macon,DEN,1991,1,8,22.078,G,Temple University,1992,1999,251,0.1,0.001,-3.2,-1.5,5018,25,33,27,-12.7
Stacey Augmon,ATL,1991,1,9,22.334,F-G,University of Nevada Las Vegas,1992,2006,1001,43.8,0.097,-0.2,9.8,21658,12,11,9,0.0
Bison Dele,ORL,1991,1,10,22.086,F-C,University of Arizona,1992,1999,413,22.8,0.109,-0.3,4.4,10004,13,8,13,-5.0
Terrell Brandon,CLE,1991,1,11,21.042,G,University of Oregon,1992,2002,724,65.9,0.147,2.4,23.7,21545,2,2,5,15.1
Greg Anthony,NYK,1991,1,12,23.229,G,University of Nevada Las Vegas,1992,2002,757,35.9,0.109,0.0,8.1,15850,11,9,12,0.0
Dale Davis,IND,1991,1,13,22.098,F,Clemson University,1992,2007,1094,86.9,0.141,1.8,28.6,29606,4,3,2,24.2
Rich King,SEA,1991,1,14,22.088,C,University of Nebraska,1992,1995,72,0.2,0.036,-5.8,-0.3,309,35,35,35,-7.7
Anthony Avent,ATL,1991,1,15,21.256,F,Seton Hall University,1993,2000,352,0.3,0.002,-4.9,-5.0,6729,32,32,33,-6.0
Chris Gatling,GSW,1991,1,16,23.302,F-C,Old Dominion University,1992,2002,700,32.1,0.112,-2.1,-0.2,13760,17,7,17,-0.5
Victor Alexander,GSW,1991,1,17,21.304,C-F,Iowa State University,1992,2002,286,8.8,0.073,-2.6,-0.9,5755,21,16,23,-0.7
Kevin Brooks,MIL,1991,1,18,21.262,F,University of Louisiana at Lafayette,1992,1994,126,-0.1,-0.004,-7.9,-1.5,1031,34,34,28,-1.3
LaBradford Smith,WSB,1991,1,19,22.089,G,University of Louisville,1992,1994,183,1.5,0.024,-4.1,-1.6,3131,30,28,29,-1.2
John Turner,HOU,1991,1,20,23.214,F,Phillips University,1992,1992,42,-0.1,-0.021,-7.4,-0.5,345,36,36,36,-5.7
Eric Murdock,UTA,1991,1,21,23.017,G,Providence College,1992,2000,508,25.6,0.103,1.1,9.4,11882,6,10,10,10.0
LeRon Ellis,LAC,1991,1,22,22.064,F-C,Syracuse University,1992,1996,91,1.2,0.069,-3.2,-0.3,857,37,37,37,-5.6
Stanley Roberts,ORL,1991,1,23,21.144,C,Louisiana State University,1992,2000,300,8.1,0.066,-3.3,-1.9,5869,26,19,31,-1.0
Rick Fox,BOS,1991,1,24,21.342,F-G,University of North Carolina,1992,2004,930,44.7,0.090,1.0,17.6,23723,7,14,7,18.6
Shaun Vandiver,GSW,1991,1,25,,,University of Colorado,,,,,,,,,38,38,38,-5.2
Mark Randall,CHI,1991,1,26,23.275,F,University of Kansas,1992,1995,127,1.0,0.054,-3.6,-0.4,883,39,39,39,-4.7
Pete Chilcutt,SAC,1991,1,27,22.290,F-C,University of North Carolina,1992,2000,584,10.6,0.060,-1.9,0.3,8394,16,20,16,1.8
Kevin Lynch,CHH,1991,2,28,22.189,G-F,University of Minnesota,1992,1993,95,0.4,0.016,-4.0,-0.6,1143,27,30,21,0.9
George Ackles,MIA,1991,2,29,,,University of Nevada Las Vegas,,,,,,,,,40,40,40,-4.6
Rodney Monroe,ATL,1991,2,30,23.076,G,North Carolina State University,1992,1992,38,-0.2,-0.035,-6.9,-0.4,313,41,41,41,-4.4
Randy Brown,SAC,1991,2,31,23.040,G,New Mexico State University,1992,2003,655,11.0,0.046,-2.2,-0.5,11533,18,24,20,1.4
Chad Gallagher,PHO,1991,2,32,22.032,C,Creighton University,1994,1994,2,0.1,1.442,16.3,0.0,3,42,42,42,-4.0
Donald Hodge,DAL,1991,2,33,22.126,C,Temple University,1992,1996,249,1.8,0.025,-4.0,-1.8,3501,28,26,30,3.2
Myron Brown,MIN,1991,2,34,21.240,G,Slippery Rock University of Pennsylvania,1992,1992,4,0.0,0.032,-5.0,0.0,23,43,43,43,0.0
Mike Iuzzolino,DAL,1991,2,35,23.161,G,Saint Francis University,1992,1993,122,3.7,0.058,-2.8,-0.6,3049,23,21,22,5.6
Chris Corchiani,ORL,1991,2,36,23.095,G,North Carolina State University,1992,1994,112,1.6,0.058,-2.6,-0.2,1313,22,22,18,6.0
Elliot Perry,LAC,1991,2,37,22.095,G,University of Memphis,1992,2002,549,14.0,0.071,-2.2,-0.4,9501,19,17,19,5.8
Joe Wylie,LAC,1991,2,38,,,University of Miami,,,,,,,,,44,44,44,0
Jimmy Oliver,CLE,1991,2,39,21.354,G-F,Purdue University,1992,1999,78,0.3,0.018,-5.6,-0.8,856,45,45,45,0
Doug Overton,DET,1991,2,40,21.332,G,La Salle University,1993,2004,499,2.5,0.016,-5.4,-6.2,7275,33,31,34,0.0
Sean Green,IND,1991,2,41,21.149,G-F,Iona College,1992,1994,84,-1.3,-0.095,-8.3,-1.1,671,46,46,46,0
Steve Hood,SAC,1991,2,42,,,James Madison University,,,,,,,,,47,47,47,0
Lamont Strothers,GSW,1991,2,43,23.052,G,Christopher Newport University,1992,1993,13,-0.5,-0.142,-8.1,-0.2,155,48,48,48,0
Alvaro Teheran,PHI,1991,2,44,,,University of Houston,,,,,,,,,49,49,49,0
Bobby Phills,MIL,1991,2,45,21.193,G,Southern University and A&amp;M College,1992,2000,467,27.2,0.097,0.5,8.6,13426,10,12,11,14.8
Richard Dumas,PHO,1991,2,46,22.043,F,Oklahoma State University,1993,1996,102,4.5,0.097,-0.3,1.0,2226,14,13,15,7.2
Keith Hughes,HOU,1991,2,47,,,Rutgers University,,,,,,,,,50,50,50,0
Isaac Austin,UTA,1991,2,48,21.317,C,Arizona State University,1992,2002,432,9.2,0.053,-2.5,-1.0,8350,20,23,24,5.2
Greg Sutton,SAS,1991,2,49,23.211,G,Oral Roberts University,1992,1996,168,1.0,0.024,-4.0,-1.0,1946,29,29,25,5.2
Joey Wright,PHO,1991,2,50,,,University of Texas at Austin,,,,,,,,,51,51,51,0
Zan Tabak,HOU,1991,2,51,21.016,C,,1995,2001,247,2.4,0.032,-4.4,-2.2,3607,31,25,32,4.0
Anthony Jones,LAL,1991,2,52,,,Oral Roberts University,,,,,,,,,52,52,52,0
Von McDade,NJN,1991,2,53,,,University of Wisconsin-Milwaukee,,,,,,,,,53,53,53,0
Marcus Kennedy,POR,1991,2,54,,,Eastern Michigan University,,,,,,,,,54,54,54,0
Shaquille O'Neal,ORL,1992,1,1,20.115,C,Louisiana State University,1993,2011,1207,181.7,0.208,5.0,74.0,41918,1,1,1,0.0
Alonzo Mourning,CHH,1992,1,2,22.142,C,Georgetown University,1993,2008,838,89.7,0.166,1.7,24.0,25975,5,2,5,-8.0
Christian Laettner,MIN,1992,1,3,22.317,F-C,Duke University,1993,2005,868,64.9,0.121,1.6,23.2,25760,6,5,6,-5.4
Jim Jackson,DAL,1992,1,4,21.259,G,Ohio State University,1993,2006,885,35.8,0.059,-0.7,9.6,29067,16,29,13,-15.8
LaPhonso Ellis,DEN,1992,1,5,22.056,F,University of Notre Dame,1993,2003,624,32.8,0.089,-0.4,7.1,17616,14,13,14,-16.9
Tom Gugliotta,WSB,1992,1,6,22.193,F,North Carolina State University,1993,2005,763,40.2,0.082,1.1,18.7,23556,8,20,8,-4.5
Walt Williams,SAC,1992,1,7,22.075,F-G,University of Maryland,1993,2003,708,33.9,0.087,0.6,12.4,18818,10,16,10,-9.3
Todd Day,MIL,1992,1,8,22.174,G-F,University of Arkansas,1993,2001,483,17.5,0.069,-1.1,2.8,12214,19,25,18,-15.9
Clarence Weatherspoon,PHI,1992,1,9,21.295,F,University of Southern Mississippi,1993,2005,915,58.4,0.101,-0.1,13.4,27736,12,11,9,0.0
Adam Keefe,ATL,1992,1,10,22.128,F,Stanford University,1993,2001,617,24.9,0.116,-0.1,4.9,10334,13,7,17,-7.5
Robert Horry,HOU,1992,1,11,21.309,F,University of Alabama,1993,2008,1107,66.3,0.118,2.7,32.0,27069,2,6,2,21.1
Harold Miner,MIA,1992,1,12,21.056,G,University of Southern California,1993,1996,200,4.2,0.053,-4.1,-2.0,3748,33,31,33,-11.8
Bryant Stith,DEN,1992,1,13,21.202,G,University of Virginia,1993,2002,586,29.5,0.086,-0.6,5.8,16417,15,18,16,-3.8
Malik Sealy,IND,1992,1,14,22.149,G,St. John's University,1993,2000,493,17.1,0.070,-1.4,1.7,11720,22,24,20,-5.4
Anthony Peeler,LAL,1992,1,15,22.217,G,University of Missouri,1993,2005,827,30.7,0.072,-0.8,6.1,20464,17,23,15,0.0
Randy Woods,LAC,1992,1,16,21.280,G,La Salle University,1993,1996,151,0.6,0.026,-3.4,-0.4,1093,29,35,27,-6.2
Doug Christie,SEA,1992,1,17,22.052,G-F,Pepperdine University,1993,2007,827,55.7,0.102,1.9,25.4,26079,3,10,4,20.5
Tracy Murray,SAS,1992,1,18,20.340,F,University of California Los Angeles,1993,2004,659,24.1,0.096,-1.6,1.4,12103,24,12,23,-1.4
Don MacLean,DET,1992,1,19,22.165,F,University of California Los Angeles,1993,2001,319,9.4,0.067,-3.7,-2.9,6679,30,27,36,-5.7
Hubert Davis,NYK,1992,1,20,22.044,G,University of North Carolina,1993,2004,685,27.7,0.088,-1.8,0.7,15143,25,15,24,-1.0
Jon Barry,BOS,1992,1,21,22.340,G,Georgia Institute of Technology,1993,2006,821,37.2,0.129,0.8,9.8,13880,9,3,12,8.2
Oliver Miller,PHO,1992,1,22,22.085,C,University of Arkansas,1993,2004,493,21.1,0.089,1.8,10.9,11338,4,14,11,9.3
Lee Mayberry,MIL,1992,1,23,22.018,G,University of Arkansas,1993,1999,496,7.9,0.036,-4.5,-6.6,10337,35,34,37,-8.0
Latrell Sprewell,GSW,1992,1,24,21.295,G,University of Alabama,1993,2005,913,56.3,0.077,0.4,21.7,35270,11,22,7,21.0
Elmore Spencer,LAC,1992,1,25,22.206,C,University of Nevada Las Vegas,1993,1997,157,0.0,0.001,-4.1,-1.4,2641,34,37,32,-2.1
Dave Johnson,POR,1992,1,26,21.226,G-F,Syracuse University,1993,1994,59,-0.3,-0.032,-9.3,-0.9,475,38,38,38,-6.3
Byron Houston,CHI,1992,1,27,22.220,F,Oklahoma State University,1993,1996,214,3.9,0.069,-2.4,-0.3,2674,26,26,26,0.1
Marlon Maxey,MIN,1992,2,28,23.131,F,University of Texas at El Paso,1993,1994,98,2.6,0.109,-3.8,-0.5,1146,31,9,29,-0.1
P.J. Brown,NJN,1992,2,29,22.259,F-C,Louisiana Tech University,1994,2008,1089,89.8,0.128,1.4,28.6,33823,7,4,3,29.1
Sean Rooks,DAL,1992,2,30,22.294,C,University of Arizona,1993,2004,749,16.2,0.057,-2.8,-2.7,13560,28,30,35,-1.9
Reggie Smith,POR,1992,2,31,21.313,C,Texas Christian University,1993,1994,66,0.4,0.051,-5.6,-0.3,384,39,39,39,-5.7
Brent Price,WSB,1992,2,32,23.203,G,University of Oklahoma,1993,2002,418,12.0,0.082,-1.1,1.6,7007,20,21,21,3.0
Corey Williams,CHI,1992,2,33,22.067,G,Oklahoma State University,1993,1994,39,0.2,0.037,-5.6,-0.3,288,40,40,40,-4.6
Chris Smith,MIN,1992,2,34,22.044,G,University of Connecticut,1993,1995,224,3.2,0.039,-4.5,-2.5,3956,36,33,34,0.0
Tony Bennett,CHH,1992,2,35,23.029,G,University of Wisconsin-Green Bay,1993,1995,152,1.6,0.041,-3.9,-0.9,1886,32,32,31,1.8
